ResponseId,Economy,P5,P25,P65,P125,P250,P500,P1500,P3000,P5500,P17500,P35000,P70000,P140000,P280000,P560000,AGE,GENDER,RELIGION,POL,INC,HINS,ALC,MJ,GB,NIC,normalized_auc
R_20uA3Ls5GyscXuO,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,33,1,100,72,1,1,0,0,0,0,0.0098125
R_20uXAPwmUOvLlcu,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004008929
R_223ay6keI1QrTsO,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1,100,NA,1,0,0,0,0,0,              NA
R_24wvto7WxmZ7LPy,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,18,1,100,NA,0,1,0,0,1,0,0.001776786
R_2aQruiQwvpfadel,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,23,1,100,NA,1,0,0,0,0,0,0.001776786
R_2CwtP4CvdOSKNsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2EiuhJmHmbxGIYb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2f9INeCJIlueGKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2fHu6TZAjATEY01,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,21,1,100,70,1,0,0,0,0,0,0.093741071
R_2gGLOXUPbqvi7sZ,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,NA,0,100,36,NA,NA,NA,0,1,NA,0.674602679
R_2gh9tmeSrJQxnAd,0,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,28,1,100,91,1,0,0,0,0,0,              NA
R_2haCnpbpz4n4CZj,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020526786
R_2i558r0b41w6PUU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
R_2IE02TfYyYwXi2O,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,37,1,100,25,1,0,1,0,0,0,0.046866071
R_2IGgtociJsJDt48,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,21,0,43,85,1,0,0,0,0,1,0.003991071
R_2IXG5mqJHeds2ay,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
R_2j9x4SGDuW05kzf,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,29,0,95,50,1,0,0,0,0,0,0.046866071
R_2K8DBwiYjB7BKIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2K9hMWOTnF29976,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,0,75,NA,1,0,0,0,0,0,              NA
R_2kNTZ5bgjD3wYF7,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,23,1,29,60,1,0,1,1,0,0,              NA
R_2LgNgGWmyO7KPfd,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,NA,18,0,82,NA,0,1,0,0,0,0,0.020526786
R_2lVfu7lsTLLpyZH,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,21,0,100,67,0,0,0,0,0,0,0.020526786
R_2maAwtKVPx1TpzH,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2mmvfQDMjiclFre,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2MR7B4JdCE1GS2z,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,NA,22,0,74,33,1,1,1,0,0,0,0.007580357
R_2n4aR7y9wewlfOh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2nTRZVbuflAmwPg,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,28,1,50,50,1,0,0,0,0,0,0.912441964
R_2PAf9devncUhFUh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2PdS2EGAC5lhh2q,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,21,0,60,70,1,0,0,0,0,0,              NA
